"Action Against Hunger (Action Against Hunger)","organisation","","plain_text","0","","Action Against Hunger","INGO","Action Against Hunger"
"Action Aid (AA)","organisation","","plain_text","0","","AA","INGO","Action Aid"
"Action Contre la Faim (ACF)","organisation","","plain_text","0","","ACF","INGO","Action Contre la Faim"
"ACTIONAID Denmark (ACTIONAID)","organisation","","plain_text","0","","ACTIONAID","INGO","ACTIONAID Denmark"
"Adventist Development and Relief Agency (ADRA)","organisation","","plain_text","0","","ADRA","INGO","Adventist Development and Relief Agency"
"Agency for Technical Cooperation and Development (ACTED)","organisation","","plain_text","0","","ACTED","INGO","Agency for Technical Cooperation and Development"
"Al Ketab and Al Sonah Organisation (Al Ketab and Al Sonah Organisation)","organisation","","plain_text","0","","Al Ketab and Al Sonah Organisation","NGO","Al Ketab and Al Sonah Organisation"
"American Refugee Committee (ARC)","organisation","","plain_text","0","","ARC","INGO","American Refugee Committee"
"Amman Center for Human Rights Studies (ACHRS)","organisation","","plain_text","0","","ACHRS","NGO","Amman Center for Human Rights Studies"
"Arab Renaissance for Democracy and Development - Legal Aid (ARDD-LA)","organisation","","plain_text","0","","ARDD-LA","NGO","Arab Renaissance for Democracy and Development - Legal Aid"
"Australian Embassy (Australian Embassy)","organisation","","plain_text","0","","Australian Embassy","Donor","Australian Embassy"
"Austrian Embassy (Austrian Embassy)","organisation","","plain_text","0","","Austrian Embassy","Donor","Austrian Embassy"
"AVSI Foundation (AVSI)","organisation","","plain_text","0","","AVSI","INGO","AVSI Foundation"
"Belgian Embassy (Belgian Embassy)","organisation","","plain_text","0","","Belgian Embassy","Donor","Belgian Embassy"
"Bright Future for Mental Health (Bright Future)","organisation","","plain_text","0","","Bright Future","INGO","Bright Future for Mental Health"
"Canadian Embassy (Canadian Embassy)","organisation","","plain_text","0","","Canadian Embassy","Donor","Canadian Embassy"
"CARE International (CARE)","organisation","","plain_text","0","","CARE","INGO","CARE International"
"Caritas Jordan (Caritas Jordan)","organisation","","plain_text","0","","Caritas Jordan","INGO","Caritas Jordan"
"Center for victims of torture (CVT)","organisation","","plain_text","0","","CVT","INGO","Center for victims of torture"
"Children without borders (Kokyyo naki Kodomotachi) (Children without borders-KnK)","organisation","","plain_text","0","","Children without borders-KnK","INGO","Children without borders (Kokyyo naki Kodomotachi)"
"Dan Church Aid (DCA)","organisation","","plain_text","0","","DCA","INGO","Dan Church Aid"
"Danish Refugee Council (DRC)","organisation","","plain_text","0","","DRC","INGO","Danish Refugee Council"
"Department of Foreign Affairs and Trade (DFAT)","organisation","","plain_text","0","","DFAT","Government","Department of Foreign Affairs and Trade"
"Department of Statistics (DoS)","organisation","","plain_text","0","","DoS","Government","Department of Statistics"
"Embassy of Bahrain (Embassy of Bahrain)","organisation","","plain_text","0","","Embassy of Bahrain","Donor","Embassy of Bahrain"
"Embassy of Denmark (Embassy of Denmark)","organisation","","plain_text","0","","Embassy of Denmark","Donor","Embassy of Denmark"
"Embassy of Japan (Embassy of Japan)","organisation","","plain_text","0","","Embassy of Japan","Donor","Embassy of Japan"
"Embassy of the Kingdom of the Netherlands (The Netherlands Embassy)","organisation","","plain_text","0","","The Netherlands Embassy","Donor","Embassy of the Kingdom of the Netherlands"
"Embassy of the Republic of Korea (Embassy of the Republic of Korea)","organisation","","plain_text","0","","Embassy of the Republic of Korea","Donor","Embassy of the Republic of Korea"
"European Commission's Humanitarian Aid and Civil Protection departmentÿ (ECHO)","organisation","","plain_text","0","","ECHO","Donor","European Commission's Humanitarian Aid and Civil Protection departmentÿ"
"European Commission- DG ECHO (European Commission- DG ECHO)","organisation","","plain_text","0","","European Commission- DG ECHO","Donor","European Commission- DG ECHO"
"European External Action Service (EEAS - EU)","organisation","","plain_text","0","","EEAS - EU","Donor","European External Action Service"
"European Union (EU)","organisation","","plain_text","0","","EU","Donor","European Union"
"Financial Services Volunteer Corps (FSVC)","organisation","","plain_text","0","","FSVC","INGO","Financial Services Volunteer Corps"
"Finn Church Aid (FCA)","organisation","","plain_text","0","","FCA","INGO","Finn Church Aid"
"Food and Agriculture (FAO)","organisation","","plain_text","0","","FAO","UN","Food and Agriculture"
"FPSC (FPSC)","organisation","","plain_text","0","","FPSC","INGO","FPSC"
"France Expertise Internationale (FEI)","organisation","","plain_text","0","","FEI","INGO","France Expertise Internationale"
"French Embassy (French Embassy)","organisation","","plain_text","0","","French Embassy","Donor","French Embassy"
"General union of voluntary societies (GUVS)","organisation","","plain_text","0","","GUVS","NGO","General union of voluntary societies"
"German Embassy (German Embassy)","organisation","","plain_text","0","","German Embassy","Donor","German Embassy"
"German Federal Agency for Technical Relief (THW)","organisation","","plain_text","0","","THW","INGO","German Federal Agency for Technical Relief"
"Handicap International (HI)","organisation","","plain_text","0","","HI","INGO","Handicap International"
"HelpAge (HA)","organisation","","plain_text","0","","HA","INGO","HelpAge"
"Homes League Abroad (Homes League Abroad)","organisation","","plain_text","0","","Homes League Abroad","Other","Homes League Abroad"
"Human Appeal International (HAI - UAE)","organisation","","plain_text","0","","HAI - UAE","INGO","Human Appeal International"
"Human Relief Foundation (HRF)","organisation","","plain_text","0","","HRF","INGO","Human Relief Foundation"
"Humanitarian Relief Foundation (HRF)","organisation","","plain_text","0","","HRF","NGO","Humanitarian Relief Foundation"
"IMMAP (iMMAP)","organisation","","plain_text","0","","iMMAP","INGO","IMMAP"
"INSO Syria (INSO Syria)","organisation","","plain_text","0","","INSO Syria","NGO","INSO Syria"
"Institute for Family Health/Noor Al Hussein Foundation (IFH/NHF)","organisation","","plain_text","0","","IFH/NHF","NGO","Institute for Family Health/Noor Al Hussein Foundation"
"Inter-Agency Standing Committee (IASC)","organisation","","plain_text","0","","IASC","UN","Inter-Agency Standing Committee"
"International Catholic Migration Commission (ICMC)","organisation","","plain_text","0","","ICMC","INGO","International Catholic Migration Commission"
"International Committee of the Red Cross (ICRC)","organisation","","plain_text","0","","ICRC","Other","International Committee of the Red Cross"
"International Council of Voluntary Agencies (ICVA)","organisation","","plain_text","0","","ICVA","INGO","International Council of Voluntary Agencies"
"International Federation of Red Cross and Red Crescent (IFRC)","organisation","","plain_text","0","","IFRC","Other","International Federation of Red Cross and Red Crescent"
"International Labour Organization (ILO)","organisation","","plain_text","0","","ILO","UN","International Labour Organization"
"International Medical Corps (IMC)","organisation","","plain_text","0","","IMC","INGO","International Medical Corps"
"International Organisation for Migration (IOM)","organisation","","plain_text","0","","IOM","Other","International Organisation for Migration"
"International Orthodox Christian Charities (IOCC)","organisation","","plain_text","0","","IOCC","INGO","International Orthodox Christian Charities"
"International Relief & Development (IRD)","organisation","","plain_text","0","","IRD","INGO","International Relief & Development"
"International Rescue Committee (IRC)","organisation","","plain_text","0","","IRC","INGO","International Rescue Committee"
"INTERSOS (INTERSOS)","organisation","","plain_text","0","","INTERSOS","INGO","INTERSOS"
"Islamic Charity Center Society (ICCS)","organisation","","plain_text","0","","ICCS","Other","Islamic Charity Center Society"
"Islamic Relief France (IRF)","organisation","","plain_text","0","","IRF","INGO","Islamic Relief France"
"Islamic Relief Jordan (IRJ)","organisation","","plain_text","0","","IRJ","INGO","Islamic Relief Jordan"
"Islamic Relief Worldwide (IRW)","organisation","","plain_text","0","","IRW","INGO","Islamic Relief Worldwide"
