Action Aid (AA),Action Aid,AA,INGO
Action Contre la Faim (ACF),Action Contre la Faim,ACF,INGO
Amman Center for Human Rights Studies (ACHRS),Amman Center for Human Rights Studies,ACHRS,NGO
Agency for Technical Cooperation and Development (ACTED),Agency for Technical Cooperation and Development,ACTED,INGO
Action Against Hunger (Action Against Hunger),Action Against Hunger,Action Against Hunger,INGO
ACTIONAID Denmark (ACTIONAID),ACTIONAID Denmark,ACTIONAID,INGO
Adventist Development and Relief Agency (ADRA),Adventist Development and Relief Agency,ADRA,INGO
Al Ketab and Al Sonah Organisation (Al Ketab and Al Sonah Organisation),Al Ketab and Al Sonah Organisation,Al Ketab and Al Sonah Organisation,NGO
American Refugee Committee (ARC),American Refugee Committee,ARC,INGO
Arab Renaissance for Democracy and Development - Legal Aid (ARDD-LA),Arab Renaissance for Democracy and Development - Legal Aid,ARDD-LA,NGO
Australian Embassy (Australian Embassy),Australian Embassy,Australian Embassy,Donor
Austrian Embassy (Austrian Embassy),Austrian Embassy,Austrian Embassy,Donor
AVSI Foundation (AVSI),AVSI Foundation,AVSI,INGO
Belgian Embassy (Belgian Embassy),Belgian Embassy,Belgian Embassy,Donor
Bright Future for Mental Health (Bright Future),Bright Future for Mental Health,Bright Future,INGO
Canadian Embassy (Canadian Embassy),Canadian Embassy,Canadian Embassy,Donor
CARE International (CARE),CARE International,CARE,INGO
Caritas Jordan (Caritas Jordan),Caritas Jordan,Caritas Jordan,INGO
Children without borders (Kokyyo naki Kodomotachi) (Children without borders-KnK),Children without borders (Kokyyo naki Kodomotachi),Children without borders-KnK,INGO
Center for victims of torture (CVT),Center for victims of torture,CVT,INGO
Dan Church Aid (DCA),Dan Church Aid,DCA,INGO
Department of Foreign Affairs and Trade (DFAT),Department of Foreign Affairs and Trade,DFAT,Government
UKÿDepartment for International Development (DFID),UKÿDepartment for International Development,DFID,Donor
Department of Statistics (DoS),Department of Statistics,DoS,Government
Danish Refugee Council (DRC),Danish Refugee Council,DRC,INGO
European Commission's Humanitarian Aid and Civil Protection departmentÿ (ECHO),European Commission's Humanitarian Aid and Civil Protection departmentÿ,ECHO,Donor
European External Action Service (EEAS - EU),European External Action Service,EEAS - EU,Donor
Embassy of Bahrain (Embassy of Bahrain),Embassy of Bahrain,Embassy of Bahrain,Donor
Embassy of Denmark (Embassy of Denmark),Embassy of Denmark,Embassy of Denmark,Donor
Embassy of Japan (Embassy of Japan),Embassy of Japan,Embassy of Japan,Donor
Embassy of the Republic of Korea (Embassy of the Republic of Korea),Embassy of the Republic of Korea,Embassy of the Republic of Korea,Donor
European Union (EU),European Union,EU,Donor
European Commission- DG ECHO (European Commission- DG ECHO),European Commission- DG ECHO,European Commission- DG ECHO,Donor
Food and Agriculture (FAO),Food and Agriculture,FAO,UN
Finn Church Aid (FCA),Finn Church Aid,FCA,INGO
France Expertise Internationale (FEI),France Expertise Internationale,FEI,INGO
FPSC (FPSC),FPSC,FPSC,INGO
French Embassy (French Embassy),French Embassy,French Embassy,Donor
Financial Services Volunteer Corps (FSVC),Financial Services Volunteer Corps,FSVC,INGO
German Embassy (German Embassy),German Embassy,German Embassy,Donor
General union of voluntary societies (GUVS),General union of voluntary societies,GUVS,NGO
HelpAge (HA),HelpAge,HA,INGO
Human Appeal International (HAI - UAE),Human Appeal International,HAI - UAE,INGO
Handicap International (HI),Handicap International,HI,INGO
Homes League Abroad (Homes League Abroad),Homes League Abroad,Homes League Abroad,Other
Human Relief Foundation (HRF),Human Relief Foundation,HRF,INGO
Humanitarian Relief Foundation (HRF),Humanitarian Relief Foundation,HRF,NGO
Inter-Agency Standing Committee (IASC),Inter-Agency Standing Committee,IASC,UN
