Action Aid,AA,INGO,Action Aid (AA)
Action Contre la Faim,ACF,INGO,Action Contre la Faim (ACF)
Amman Center for Human Rights Studies,ACHRS,NGO,Amman Center for Human Rights Studies (ACHRS)
Agency for Technical Cooperation and Development,ACTED,INGO,Agency for Technical Cooperation and Development (ACTED)
Action Against Hunger,Action Against Hunger,INGO,Action Against Hunger (Action Against Hunger)
ACTIONAID Denmark,ACTIONAID,INGO,ACTIONAID Denmark (ACTIONAID)
Adventist Development and Relief Agency,ADRA,INGO,Adventist Development and Relief Agency (ADRA)
Al Ketab and Al Sonah Organisation,Al Ketab and Al Sonah Organisation,NGO,Al Ketab and Al Sonah Organisation (Al Ketab and Al Sonah Organisation)
American Refugee Committee,ARC,INGO,American Refugee Committee (ARC)
Arab Renaissance for Democracy and Development - Legal Aid,ARDD-LA,NGO,Arab Renaissance for Democracy and Development - Legal Aid (ARDD-LA)
Australian Embassy,Australian Embassy,Donor,Australian Embassy (Australian Embassy)
Austrian Embassy,Austrian Embassy,Donor,Austrian Embassy (Austrian Embassy)
AVSI Foundation,AVSI,INGO,AVSI Foundation (AVSI)
Belgian Embassy,Belgian Embassy,Donor,Belgian Embassy (Belgian Embassy)
Bright Future for Mental Health,Bright Future,INGO,Bright Future for Mental Health (Bright Future)
Canadian Embassy,Canadian Embassy,Donor,Canadian Embassy (Canadian Embassy)
CARE International,CARE,INGO,CARE International (CARE)
Caritas Jordan,Caritas Jordan,INGO,Caritas Jordan (Caritas Jordan)
Children without borders (Kokyyo naki Kodomotachi),Children without borders-KnK,INGO,Children without borders (Kokyyo naki Kodomotachi) (Children without borders-KnK)
Center for victims of torture,CVT,INGO,Center for victims of torture (CVT)
Dan Church Aid,DCA,INGO,Dan Church Aid (DCA)
Department of Foreign Affairs and Trade,DFAT,Government,Department of Foreign Affairs and Trade (DFAT)
UKÊDepartment for International Development,DFID,Donor,UKÊDepartment for International Development (DFID)
Department of Statistics,DoS,Government,Department of Statistics (DoS)
Danish Refugee Council,DRC,INGO,Danish Refugee Council (DRC)
European Commission's Humanitarian Aid and Civil Protection departmentÊ,ECHO,Donor,European Commission's Humanitarian Aid and Civil Protection departmentÊ (ECHO)
European External Action Service,EEAS - EU,Donor,European External Action Service (EEAS - EU)
Embassy of Bahrain,Embassy of Bahrain,Donor,Embassy of Bahrain (Embassy of Bahrain)
Embassy of Denmark,Embassy of Denmark,Donor,Embassy of Denmark (Embassy of Denmark)
Embassy of Japan,Embassy of Japan,Donor,Embassy of Japan (Embassy of Japan)
Embassy of the Republic of Korea,Embassy of the Republic of Korea,Donor,Embassy of the Republic of Korea (Embassy of the Republic of Korea)
European Union,EU,Donor,European Union (EU)
European Commission- DG ECHO,European Commission- DG ECHO,Donor,European Commission- DG ECHO (European Commission- DG ECHO)
Food and Agriculture,FAO,UN,Food and Agriculture (FAO)
Finn Church Aid,FCA,INGO,Finn Church Aid (FCA)
France Expertise Internationale,FEI,INGO,France Expertise Internationale (FEI)
FPSC,FPSC,INGO,FPSC (FPSC)
French Embassy,French Embassy,Donor,French Embassy (French Embassy)
Financial Services Volunteer Corps,FSVC,INGO,Financial Services Volunteer Corps (FSVC)
German Embassy,German Embassy,Donor,German Embassy (German Embassy)
General union of voluntary societies,GUVS,NGO,General union of voluntary societies (GUVS)
HelpAge,HA,INGO,HelpAge (HA)
Human Appeal International,HAI - UAE,INGO,Human Appeal International (HAI - UAE)
Handicap International,HI,INGO,Handicap International (HI)
Homes League Abroad,Homes League Abroad,Other,Homes League Abroad (Homes League Abroad)
Human Relief Foundation,HRF,INGO,Human Relief Foundation (HRF)
Humanitarian Relief Foundation,HRF,NGO,Humanitarian Relief Foundation (HRF)
Inter-Agency Standing Committee,IASC,UN,Inter-Agency Standing Committee (IASC)
Islamic Charity Center Society,ICCS,Other,Islamic Charity Center Society (ICCS)
International Catholic Migration Commission,ICMC,INGO,International Catholic Migration Commission (ICMC)
International Committee of the Red Cross,ICRC,Other,International Committee of the Red Cross (ICRC)
International Council of Voluntary Agencies,ICVA,INGO,International Council of Voluntary Agencies (ICVA)
Institute for Family Health/Noor Al Hussein Foundation,IFH/NHF,NGO,Institute for Family Health/Noor Al Hussein Foundation (IFH/NHF)
International Federation of Red Cross and Red Crescent,IFRC,Other,International Federation of Red Cross and Red Crescent (IFRC)
International Labour Organization,ILO,UN,International Labour Organization (ILO)
International Medical Corps,IMC,INGO,International Medical Corps (IMC)
IMMAP,iMMAP,INGO,IMMAP (iMMAP)
INSO Syria,INSO Syria,NGO,INSO Syria (INSO Syria)
INTERSOS,INTERSOS,INGO,INTERSOS (INTERSOS)
International Orthodox Christian Charities,IOCC,INGO,International Orthodox Christian Charities (IOCC)
International Organisation for Migration,IOM,Other,International Organisation for Migration (IOM)
International Rescue Committee,IRC,INGO,International Rescue Committee (IRC)
International Relief & Development,IRD,INGO,International Relief & Development (IRD)
Islamic Relief France,IRF,INGO,Islamic Relief France (IRF)
Islamic Relief Jordan,IRJ,INGO,Islamic Relief Jordan (IRJ)
Islamic Relief Worldwide,IRW,INGO,Islamic Relief Worldwide (IRW)
Italian Development Cooperation,Italian Development Cooperation,Donor,Italian Development Cooperation (Italian Development Cooperation)
Italian Embassy,Italian Embassy,Donor,Italian Embassy (Italian Embassy)
Jordan Armed Forces,JAF,Government,Jordan Armed Forces (JAF)
Jordanian Evangelical Committee for Relief and Development,JECRaD,NGO,Jordanian Evangelical Committee for Relief and Development (JECRaD)
Japan Emergency NGO,JEN,INGO,Japan Emergency NGO (JEN)
Jordan Health Aid Society,JHAS,NGO,Jordan Health Aid Society (JHAS)
Jordan Hashemite charity organization,JHCO,NGO,Jordan Hashemite charity organization (JHCO)
Jordan Red Crescent,JNRCS,NGO,Jordan Red Crescent (JNRCS)
"Jordanian Hashemite Fund 
For Human Development",Johud,NGO,"Jordanian Hashemite Fund 
For Human Development (Johud)"
Jordanian Psychological Association,JPAJO,NGO,Jordanian Psychological Association (JPAJO)
Jordan River Foundation,JRF,NGO,Jordan River Foundation (JRF)
Jordan Response Platform to the Syria Crisis,JRPSC,NGO,Jordan Response Platform to the Syria Crisis (JRPSC)
Jesuit Refugee Service,JRS,Other,Jesuit Refugee Service (JRS)
King Hussein Foundation / Nour Al Hussein Foundation,KHF/NHF,NGO,King Hussein Foundation / Nour Al Hussein Foundation (KHF/NHF)
Kvinna till Kvinna,KTK,INGO,Kvinna till Kvinna (KTK)
Kuwait Embassy,Kuwait Embassy,Donor,Kuwait Embassy (Kuwait Embassy)
Le Monde,Le Monde,INGO,Le Monde (Le Monde)
Lebanese Embassy,Lebanese Embassy,Donor,Lebanese Embassy (Lebanese Embassy)
Lutheran World Federation - World Service,LWF,INGO,Lutheran World Federation - World Service (LWF)
Muslim Aid,MA,INGO,Muslim Aid (MA)
Madrasati Initiative,Madrasati,Other,Madrasati Initiative (Madrasati)
Mdecins du Monde,MdM,INGO,Mdecins du Monde (MdM)
Medair,MEDIAR,INGO,Medair (MEDIAR)
Ministry of Energy and Mineral Resources ,MEMR,Government,Ministry of Energy and Mineral Resources  (MEMR)
Mercy Corps,MercyCorps,INGO,Mercy Corps (MercyCorps)
Minister of State,Minister of State,Government,Minister of State (Minister of State)
Ministry of Awqaf Islamic Affairs and Holy Places ,Ministry of Awqaf,Government,Ministry of Awqaf Islamic Affairs and Holy Places  (Ministry of Awqaf)
Minister of State for Media Affairs,Ministry of Media,Government,Minister of State for Media Affairs (Ministry of Media)
